,Book Title,Author
2336,I Wish Someone Were Waiting for Me Somewhere,Anna Gavalda
2337,Autumn,Ali Smith
2338,Wonder Boys,Michael Chabon
2339,Earth Abides,George Rippey Stewart
2340,House of Leaves,Mark Z. Danielewski
2341,The Green Road,Anne Enright
2342,Levels of Life,Julian Barnes
2343,The Notebook: The Proof ; The Third Lie : Three Novels,Agota Kristof
2344,Human Chain,Seamus Heaney
2345,Night Watch,Terry Pratchett
2346,"130 ""best of"" book lists",list details page
2347,The Haunting of Hill House ,Shirley Jackson
2348,On Beauty,Zadie Smith
2349,Books of Blood,Clive Barker
2350,I Am Legend,Richard Matheson
2351,Fates and Furies,Lauren Groff
2352,Tales of H. P. Lovecraft,H. P. Lovecraft
2353,Station Eleven,Emily St John Mandel
2354,The Silence of the Girls,Pat Barker
2355,Haunted,Chuck Palahniuk
2356,Going Native,Stephen Wright
2357,The Constant Gardener,John le Carré
2358,The Stories of Ray Bradbury,Ray Bradbury
2359,The Infatuations,Javier Marías
2360,Notes on a Scandal,Zoë Heller
2361,Exit West,Mohsin Hamid
2362,Drive Your Plow Over the Bones of the Dead,Olga Tokarczuk
2363,Signs Preceding the End of the World,Yuri Herrera
2364,The Electric Michelangelo,Sarah Hall
2365,Stories of Your Life and Others,Ted Chiang
2366,Ghostwritten,David Mitchell
2367,Harvest,Jim Crace
2368,Coraline,Neil Gaiman
2369,Sixty Stories,Donald Barthelme
2370,Selected Stories of Philip K. Dick,Philip K. Dick
2371,Case Histories,Kate Atkinson
2372,That They May Face the Rising Sun,John McGahern
2373,Visitation,Jenny Erpenbeck
2374,Light,M. John Harrison
2375,The Siege,Helen Dunmore
2376,The Accidental,Ali Smith
2377,Darkmans,Nicola Barker
2378,A Little Life,Hanya Yanagihara
2379,Broken Glass,Alain Mabanckou
2380,No Country for Old Men,Cormac McCarthy
2381,The Statement,Brian Moore
2382,Splendors and Miseries of Courtesans,Honore De Balzac
2383,Where I'm Calling From,Raymond Carver
2384,Cities of the Plain,Cormac McCarthy
2385,The Shadow of the Wind,Carlos Ruiz Zafon
2386,The Physicists,Friedrich Dürrenmatt
2387,"Farewell, My Lovely: A Novel",Raymond Chandler
2388,Castle Gripsholm,Kurt Tucholsky
2389,Success: Three Years in the Life of a Province,Lion Feuchtwanger
2390,The Crossing,Cormac McCarthy
2391,The Clown,Heinrich Böll
2392,Betty Blue: The Story of a Passion,Philippe Djian
2393,Shadows on the Hudson: A Novel,Isaac Bashevis Singer
2394,The Day of the Jackal,Frederick Forsyth
2395,The Last Days of Mankind,Karl Kraus
2396,Nathan the Wise,Gotthold Ephraim Lessing
2397,"130 ""best of"" book lists",list details page
2398,Alberta empfängt einen Liebhaber,Birgit Vanderbeke
2399,Cat's Eye,Margaret Atwood
2400,The Hunting Gun,Yasushi Inoue
2401,The Good Person of Szechwan,Bertolt Brecht
2402,The Animals' Conference,Erich Kästner
2403,Der Fall Mauritius,Jakob Wassermann
2404,Die neuen Leiden des jungen W.,Ulrich Plenzdorf
2405,"Don Carlos: Infante of Spain, a Drama in Five Acts",Friedrich Schiller
2406,"South of the Border, West of the Sun: A Novel",Haruki Murakami
2407,Little Fires Everywhere,Celeste Ng
2408,The Secret Scripture,Sebastian Barry
2409,Clockers,Richard Price
2410,Jonathan Strange and Mr Norrell,Susanna Clarke
2411,Edward Lear's Book of Nonsense,Edward Lear
2412,A Sport and a Pastime,James Salter
2413,Circe,Madeline Miller
2414,The Public Burning,Robert Coover
2415,Masterworks of the Classical Haida Mythtellers,Robert Bringhurst
2416,Mystic River,Dennis Lehane
2417,The Ticket That Exploded,William S. Burroughs
2418,The Soft Machine,William S. Burroughs
2419,Nova Express,William S. Burroughs
2420,Take It Or Leave It,Raymond Federman
2421,Say You’re One of Them,Uwem Akpan
2422,Swamplandia!,Karen Russell
2423,Black Water,Joyce Carol Oates
2424,Words,Jacques Prévert
2425,The Blue Lotus,Hergé
2426,The Leavers,Lisa Ko
2427,The Wife of Martin Guerre,Janet Lewis
2428,Asterix the Gaul,Rene Goscinny
2429,The Bald Soprano,Eugène Ionesco
2430,The Way of Kings,Brandon Sanderson
2431,The Abyss,Marguerite Yourcenar
2432,The Rifles,William T. Vollmann
2433,Wolf in White Van,John Darnielle
2434,The Collected Stories of Amy Hempel,Amy Hempel
2435,The Horseman on the Roof,Jean Giono
2436,Dhalgren,Samuel R. Delany
2437,The Water Dancer,Ta-Nehisi Coates
2438,The Arrival,Shaun Tan
2439,The Stain: A Novel,Rikki Ducornet
2440,A Personal Matter,Kenzaburō Ōe
2441,The Jade Cabinet,Rikki Ducornet
2442,The Fountains of Neptune,Rikki Ducornet
2443,Entering Fire,Rikki Ducornet
2444,Thérèse Desqueyroux,François Mauriac
2445,Count Zero,William Gibson
2446,How I Live Now,Meg Rosoff
2447,Mona Lisa Overdrive,William Gibson
2448,"130 ""best of"" book lists",list details page
2449,William Trevor: The Collected Stories,William Trevor
2450,Confusion,Stefan Zweig
2451,The Eye in the Door,Pat Barker
2452,The Night Circus,Erin Morgenstern
2453,Runaway,Alice Munro
2454,Lookout cartridge,Joseph McElroy
2455,The House on Mango Street,Sandra Cisneros
2456,Silence de la Mer,Vercors
2457,Thursbitch,Alan Garner
2458,Genoa: a telling of wonders,Paul C. Metcalf
2459,A Mirror for Witches,Esther Forbes
2460,Swing Time,Zadie Smith
2461,Eva Luna,Isabel Allende
2462,Double Or Nothing,Raymond Federman
2463,The Wise Man's Fear,Patrick Rothfuss
2464,Commonwealth,Ann Patchett
2465,The Joke,Milan Kundera
2466,The Soul of Kindness,Elizabeth Taylor
2467,Less Than Angels,Barbara Pym
2468,The Cannibal: Novel,John Hawkes
2469,The Ghost,Robert Harris
2470,Aurélien,Louis Aragon
2471,The Destroyers,Christopher Bollen
2472,Youth,J M Coetzee
2473,Waiting to Exhale,Terry McMillan
2474,The Satin Slipper,Paul Claudel
2475,Wolf Brother,Michelle Paver
2476,"Boy, Snow, Bird",Helen Oyeyemi
2477,The Resistible Rise of Arturo Ui,Bertolt Brecht
2478,Friday,Michel Tournier
2479,The Night Manager,John le Carré
2480,If Nobody Speaks of Remarkable Things,Jon McGregor
2481,The Lesser Bohemians,Eimear McBride
2482,Fleshmarket Close,Ian Rankin
2483,Always Coming Home,Ursula K. Le Guin
2484,Drop City,T. Coraghessan Boyle
2485,Red at the Bone,Jacqueline Woodson
2486,Tendrils of Vines,Colette
2487,Krik? Krak!,Edwidge Danticat
2488,Capital of Pain,Paul Éluard
2489,Martin Eden,Jack London
2490,Ballad of the Salt Sea,Hugo Pratt
2491,Life in the Far West,George Frederick Ruxton
2492,Eileen,Ottessa Moshfegh
2493,Staying Alive,Neil Astley
2494,Riddley Walker,Russell Hoban
2495,The Poppy War,R. F. Kuang
2496,Portrait of an Artist with 26 Horses,William Eastlake
2497,The Bronc People,William Eastlake
2498,The Kindly One,Jonathan Littell
2499,"130 ""best of"" book lists",list details page
2500,Go in Beauty,William Eastlake
2501,The Franchiser,Stanley Elkin
2502,The Wonderful Adventures of Nils,Selma Lagerlöf
2503,Lady into Fox,David Garnett
2504,The PowerBook,Jeanette Winterson
2505,Skinny Legs and All,Tom Robbins
2506,The Martian Chronicles,Ray Bradbury
2507,The Incendiaries,R. O. Kwon
2508,The Age of Wire and String,Ben Marcus
2509,The Interrogation,J. M. G. Le Clezio
2510,Tropisms,Nathalie Sarraute
2511,Tlooth,Harry Mathews
2512,"Blind Willow, Sleeping Woman",Haruki Murakami
2513,Bowlaway,Elizabeth McCracken
2514,War Music,Christopher Logue
2515,The Damned Utd,David Peace
2516,Matilda,Roald Dahl
2517,A Sight for Sore Eyes,Ruth Rendell
2518,An Absolutely Remarkable Thing,Hank Green
2519,Collected Poems of Michael Donaghy,Michael Donaghy
2520,The Flight from the Enchanter,Iris Murdoch
2521,The Shadow of the Torturer,Gene Wolfe
2522,The Sword of the Lictor,Gene Wolfe
2523,The Claw Of The Conciliator,Gene Wolfe
2524,The Citadel of the Autarch,Gene Wolfe
2525,The Twelve Lives of Samuel Hawley,Hannah Tinti
2526,Eustace and Hilda,L. P. Hartley
2527,James and the Giant Peach,Roald Dahl
2528,Legs,William Kennedy
2529,"Bright Lights, Big City",Jay McInerney
2530,Billy Phelan's Greatest Game,William Kennedy
2531,The Emperor's Children,Claire Messud
2532,"Go Down, Moses",William Faulkner
2533,The Tunnel,William H. Gass
2534,The General of the Dead Army,Ismail Kadare
2535,Born Yesterday,Gordon Burn
2536,Omensetter's Luck,William H. Gass
2537,Who Fears Death,Nnedi Okorafor
2538,The Strange Case of Peter the Lett,Georges Simenon
2539,Darconville's Cat,Alexander Theroux
2540,Holes,Louis Sachar
2541,The Enchantress of Florence,Salman Rushdie
2542,Up,Ronald Sukenick
2543,The Golden Apples,Eudora Welty
2544,Yellow Back Radio Broke-Down,Ishmael Reed
2545,An Untamed State,Roxane Gay
2546,A Home at the End of the World,Michael Cunningham
2547,"Everything Ravaged, Everything Burned",Wells Tower
2548,Furor and Mystery,René Char
2549,The Ruins,Scott Smith
2550,"130 ""best of"" book lists",list details page
2551,You Bright and Risen Angels,William T. Vollmann
2552,Close Range: Wyoming Stories,Annie Proulx
2553,No Orchids for Miss Blandish,James Hadley Chase
2554,Blake and Mortimer,Edgar P. Jacobs
2555,The Universal Baseball Association,Robert Coover
2556,Creamy and Delicious,Steve Katz
2557,Anything Is Possible,Elizabeth Strout
2558,My Year of Rest and Relaxation,Ottessa Moshfegh
2559,The Interestings,Meg Wolitzer
2560,Presumed Innocent,Scott Turow
2561,Second Thoughts,Michel Butor
2562,More Than Human,Theodore Sturgeon
2563,District and Circle,Seamus Heaney
2564,The Last Gentleman,Walker Percy
2565,The Burden of Our Time,Hannah Arendt
2566,The Ocean at the End of the Lane,Neil Gaiman
2567,The Carhullan Army,Sarah Hall
2568,Mulligan Stew,Gilbert Sorrentino
2569,The Rosy Crucifixion,Henry Miller
2570,Kaaterskill Falls,Allegra Goodman
2571,The Emperor's Babe,Bernardine Evaristo
2572,Sudden Death,Alvaro Enrigue
2573,Easy Travel to Other Planets,Ted Mooney
2574,Amers,Saint-John Perse
2575,Gaston,André Franquin
2576,Tours of the Black Clock,Steve Erickson
2577,Flight Behavior,Barbara Kingsolver
2578,In Memoriam to Identity,Kathy Acker
2579,Practical Magic,Alice Hoffman
2580,The Lost Leader,Mick Imlah
2581,The Position,Meg Wolitzer
2582,Hogg,Samuel Delany
2583,Collected Poems of Frank O'Hara,Frank O'Hara
2584,Fools of Fortune,William Trevor
2585, Kaspar and Other Plays,Peter Handke
2586,Falling in Place,Ann Beattie
2587,A God in Ruins,Kate Atkinson
2588,The Bird of Night,Susan Hill
2589,The Collected Poems of Langston Hughes,Langston Hughes
2590,CivilWarLand in Bad Decline,George Saunders
2591,The Invented Part,Rodrigo Fresán
2592,Music and Silence,Rose Tremain
2593,The Changeling,Joy Williams
2594,Silver City,Maurice Leitch
2595,Autobiography of an Ex-Colored Man,James Weldon Johnson
2596,The Hand That First Held Mine,Maggie O'Farrell
2597,The Professional,W. C. Heinz
2598,The Sacred and Profane Love Machine,Iris Murdoch
2599,The Palm-Wine Drinkard,Amos Tutola
2600,Black Tickets,Jayne Anne Phillips
2601,"130 ""best of"" book lists",list details page
2602,Restless,William Boyd
2603,Saturday,Ian McEwan
2604,The Voyage Out,Virginia Woolf
