,Book Title,Author
82,Vanity Fair,William Makepeace Thackeray
83,Under the Volcano ,Malcolm Lowry
84,The Waste Land,T. S. Eliot
85,A Farewell to Arms,Ernest Hemingway
86,Journey to the End of The Night,Louis-Ferdinand Céline
87,The Castle,Franz Kafka
88,A Sentimental Education,Gustave Flaubert
89,The Scarlet Letter,Nathaniel Hawthorne
90,Slaughterhouse-Five ,Kurt Vonnegut
91,The Handmaid's Tale,Margaret Atwood
92,Charlotte's Web,E. B. White
93,Native Son ,Richard Wright
94,The Charterhouse of Parma,Stendhal
95,Paradise Lost,John Milton
96,Gargantua and Pantagruel,Francois Rabelais
97,Poems of Emily Dickinson,Emily Dickinson
98,Faust,Johann Wolfgang von Goethe
99,Rebecca,Daphne du Maurier
100,The Flowers of Evil,Charles Baudelaire
101,Decameron,Giovanni Boccaccio
102,"130 ""best of"" book lists",list details page
103,Tess of the d'Urbervilles,Thomas Hardy
104,Waiting for Godot,Samuel Beckett
105,Robinson Crusoe,Daniel Defoe
106,Their Eyes Were Watching God ,Zora Neale Hurston
107,Tom Jones,Henry Fielding
108,King Lear,William Shakespeare
109,A Clockwork Orange,Anthony Burgess
110,The Master and Margarita,Mikhail Bulgakov
111,Father Goriot,Honoré de Balzac
112,The Tin Drum,Günter Grass
113,Sons and Lovers,D. H. Lawrence
114,The Little Prince,Antoine de Saint-Exupéry
115,Fathers and Sons,Ivan Turgenev
116,Oresteia,Aeschylus
117,Wide Sargasso Sea,Jean Rhys
118,Bleak House,Charles Dickens
119,A Season in Hell,Arthur Rimbaud
120,Howards End,E. M. Forster
121,Little Women,Louisa May Alcott
122,Fairy Tales and Stories,Hans Christian Anderson
123,The Complete Stories of Flannery O'Connor,Flannery O'Connor
124,"Rabbit, Run ",John Updike
125,Lord Jim,Joseph Conrad
126,A Confederacy of Dunces,John Kennedy Toole
127,Atonement,Ian McEwan
128,Cousin Bette,Honoré de Balzac
129,White Teeth ,Zadie Smith
130,The Tale of Genji,Murasaki Shikibu
131,The Golden Notebook,Doris Lessing
132,Fear and Loathing in Las Vegas: A Savage Journey to the Heart of the American Dream,Hunter S. Thompson
133,Treasure Island,Robert Louis Stevenson
134,All the King's Men,Robert Penn Warren
135,The Man Without Qualities,Robert Musil
136,Doctor Faustus,Thomas Mann
137,The Count of Monte Cristo,Alexandre Dumas
138,Epic of Gilgamesh,Unknown
139,Stories of Ernest Hemingway,Ernest Hemingway
140,Nostromo,Joseph Conrad
141,The Big Sleep,Raymond Chandler
142,The Tempest,William Shakespeare
143,Dangerous Liaison,Pierre Choderlos de Laclos
144,All Quiet on the Western Front,Erich Maria Remarque
145,Love in the Time of Cholera,Gabriel Garcia Marquez
146,Buddenbrooks,Thomas Mann
147,My Antonia,Willa Cather
148,Blood Meridian,Cormac McCarthy
149,The Corrections,Jonathan Franzen
150,The Call of the Wild,Jack London
151,Tender Is the Night,F. Scott Fitzgerald
152,The Wind in the Willows,Kenneth Grahame
153,"130 ""best of"" book lists",list details page
154,A Prayer for Owen Meany ,John Irving
155,One Flew Over the Cuckoo's Nest ,Ken Kesey
156,Rabbit Is Rich,John Updike
157,Metamorphoses,Ovid
158,Collected Poems of W. B. Yeats,W. B. Yeats
159,The Brief Wondrous Life of Oscar Wao,Junot Diaz
160,"The Lion, The Witch and the Wardrobe ",C. S. Lewis
161,Oedipus at Colonus,Sophocles
162,The Moviegoer,Walker Percy
163,Medea,Euripides
164,Macbeth,William Shakespeare
165,Lost Illusions,Honoré de Balzac
166,Pedro Paramo,Juan Rulfo
167,The Prime of Miss Jean Brodie ,Muriel Spark
168,A Tree Grows in Brooklyn,Betty Smith
169,Doctor Zhivago,Boris Pasternak
170,The Ambassadors,Henry James
171,The Remains of the Day,Kazuo Ishiguro
172,Austerlitz ,W. G. Sebald
173,Confessions of Zeno,Italo Svevo
174,Dracula,Bram Stoker
175,Women in Love,D. H. Lawrence
176,Of Mice and Men,John Steinbeck
177,The Complete Sherlock Holmes,Arthur Conan Doyle
178,The Waves,Virginia Woolf
179,Rabbit Redux,John Updike
180,The Hound of the Baskervilles,Arthur Conan Doyle
181,The Leopard,Giuseppe Tomasi di Lampedusa
182,2666,Roberto Bolaño
183,Eugenie Grandet,Honoré de Balzac
184,A Room With a View,E. M. Forster
185,"The Sea, The Sea",Iris Murdoch
186,Bonfire of the Vanities,Tom Wolfe
187,The House of the Spirits,Isabel Allende
188,Twenty Thousand Leagues Under the Sea,Jules Verne
189,The Princess of Cleves,Madame de La Fayette
190,The Wind-Up Bird Chronicle,Haruki Murakami
191,The Plague,Albert Camus
192,The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson
193,The Pickwick Papers,Charles Dickens
194,The Stories of John Cheever,John Cheever
195,Fahrenheit 451,Ray Bradbury
196,The Hobbit,J. R. R. Tolkien
197,Jude the Obscure,Thomas Hardy
198,Nineteen Nineteen,John Dos Passos
199,The 42nd Parallel,John Dos Passos
200,The Big Money,John Dos Passos
201,Independent People,Halldor Laxness
202,The House of Mirth,Edith Wharton
203,The World According to Garp,John Irving
204,"130 ""best of"" book lists",list details page
205,The Republic,Plato
206,The Stand,Stephen King
207,Clarissa,Samuel Richardson
208,The Good Soldier Svejk,Jaroslav Hašek
209,Electra,Sophocles
210,The Picture of Dorian Gray,Oscar Wilde
211,The Hitchhiker's Guide to the Galaxy,Douglas Adams
212,Collected Poems,Wallace Stevens
213,Harry Potter And The Philosopher's Stone,J. K Rowling
214,American Pastoral,Philip Roth
215,La Regenta,Clarín
216,Atlas Shrugged,Ayn Rand
217,Stranger in a Strange Land,Robert A. Heinlein
218,Winnie the Pooh,A. A Milne
219,Kim,Rudyard Kipling
220,A Doll's House,Henrik Ibsen
221,Rabbit at Rest,John Updike
222,Hunger,Knut Hamsun
223,Memoirs of Hadrian,Marguerite Yourcenar
224,Dune,Frank Herbert
225,Berlin Alexanderplatz,Alfred Döblin
226,The Three Musketeers,Alexandre Dumas
227,The Book of Disquiet,Fernando Pessoa
228,The Road,Cormac McCarthy
229,If on a Winter's Night a Traveller ,Italo Calvino
230,The Long Goodbye: A Novel,Raymond Chandler
231,De Rerum Natura,Lucretius
232,An American Tragedy,Theodore Dreiser
233,The Amazing Adventures of Kavalier and Clay,Michael Chabon
234,Lucky Jim ,Kingsley Amis
235,A Tale of Two Cities,Charles Dickens
236,Light in August ,William Faulkner
237,A Dance to the Music of Time,Anthony Powell
238,The Jungle,Upton Sinclair
239,Herzog ,Saul Bellow
240,The Poems of Robert Frost,Robert Frost
241,The Time Machine,H. G. Wells
242,Parade's End,Ford Madox Ford
243,Song of Solomon,Toni Morrison
244,Portnoy's Complaint ,Philip Roth
245,A House for Mr. Biswas ,V. S. Naipaul
246,Gravity's Rainbow ,Thomas Pynchon
247,Dubliners,James Joyce
248,Brighton Rock,Graham Greene
249,Middlesex,Jeffrey Eugenides
250,Steppenwolf,Hermann Hesse
251,Disgrace,J M Coetzee
252,Nine Stories,J. D. Salinger
253,Through the Looking Glass,Lewis Carroll
254,The End of the Affair,Graham Greene
255,"130 ""best of"" book lists",list details page
256,Thus Spake Zarathustra,Friedrich Nietzsche
257,The Mill on the Floss,George Eliot
258,Ethan Frome,Edith Wharton
259,The Shipping News,E. Annie Proulx
260,Prometheus Bound,Aeschylus
261,The Unbearable Lightness of Being,Milan Kundera
262,Never Let Me Go ,Kazuo Ishiguro
263,2001: A Space Odyssey,Arthur C. Clarke
264,Henderson The Rain King,Saul Bellow
265,Persuasion,Jane Austen
266,The Bell Jar,Sylvia Plath
267,The Heart Is A Lonely Hunter,Carson McCullers
268,White Noise ,Don DeLillo
269,Molloy,Samuel Beckett
270,The Fountainhead,Ayn Rand
271,Siddhartha,Hermann Hesse
272,Season of Migration to the North,Al-Tayyib Salih
273,The Sense of an Ending,Julian Barnes
274,The Line of Beauty,Alan Hollinghurst
275,"I, Claudius ",Robert Graves
276,The Suppliants,Aeschylus
277,The Persians,Aeschylus
278,Seven Against Thebes,Aeschylus
279,Brideshead Revisited,Evelyn Waugh
280,Of Human Bondage ,W. Somerset Maugham
281,Malone Dies,Samuel Beckett
282,The Adventures of Augie March,Saul Bellow
283,Cloud Atlas,David Mitchell
284,The Man Who Loved Children ,Christina Stead
285,"Cry, the Beloved Country",Alan Paton
286,Pippi Longstocking,Astrid Lindgren
287,Wolf Hall,Hilary Mantel
288,Selected Stories of Alice Munro,Alice Munro
289,The Maltese Falcon,Dashiell Hammett
290,Complete Poems of Giacomo Leopardi,Giacomo Leopardi
291,Moll Flanders,Daniel Defoe
292,Philoctetes,Sophocles
293,Ajax,Sophocles
294,Women of Trachis,Sophocles
295,The Killer Angels,Michael Shaara
296,Possession ,A. S. Byatt
297,The Red Badge of Courage,Stephen Crane
298,The Poisonwood Bible,Barbara Kingsolver
299,Tarzan of the Apes,Edgar Rice Burroughs
300,Death of Virgil,Hermann Broch
301,The Counterfeiters,André Gide
302,Lady Chatterley's Lover,D. H. Lawrence
303,Gilead,Marilynne Robinson
304,Jacques the Fatalist and His Master,Denis Diderot
305,Zorba the Greek,Nikos Kazantzakis
306,"130 ""best of"" book lists",list details page
307,The Confusions of Young Törless,Robert Musil
308,Main Street,Sinclair Lewis
309,"So Long, See You Tomorrow",William Maxwell
310,War of the Worlds,H. G. Wells
311,The Good Earth,Pearl S. Buck
312,The Once and Future King,T. H. White
313,Our Mutual Friend,Charles Dickens
314,Humboldt's Gift,Saul Bellow
315,The Secret History,Donna Tartt
316,The Known World,Edward P. Jones
317,The God of Small Things,Arundhati Roy
318,All the Pretty Horses,Cormac McCarthy
319,Darkness at Noon,Arthur Koestler
320,Stories of Guy de Maupassant,Guy de Maupassant
321,The Man of Property,John Galsworthy
322,In Chancery,John Galsworthy
323,To Let,John Galsworthy
324,Awakening,John Galsworthy
325,Indian Summer of a Forsyte,John Galsworthy
326,Call It Sleep,Henry Roth
327,Go Tell it on the Mountain ,James Baldwin
328,Naked Lunch,William S. Burroughs
329,The Horse and His Boy: The Chronicles of Narnia,C. S. Lewis
330,Prince Caspian: The Return to Narnia,C. S. Lewis
331,The Voyage of the Dawn Treader: The Chronicles of Narnia,C. S. Lewis
332,The Silver Chair: The Chronicles of Narnia,C. S. Lewis
333,The Magician's Nephew,C. S. Lewis
334,The Last Battle: The Chronicles of Narnia,C. S. Lewis
335,Lysistrata,Aristophanes
336,Watership Down,Richard Adams
337,Tropic of Cancer ,Henry Miller
338,Infinite Jest ,David Foster Wallace
339,A Handful of Dust ,Evelyn Waugh
340,Schindler's List,Thomas Keneally
341,The Complete Poetry and Prose of William Blake,William Blake
342,Nausea,Jean Paul Sartre
343,Bouvard et Pécuchet,Gustave Flaubert
344,The War of the End of the World,Mario Vargas Llosa
345,Finnegans Wake,James Joyce
346,A Wrinkle In Time,Madeleine L'Engle
347,The Woman in White,Wilkie Collins
348,Where the Wild Things Are,Maurice Sendak
349,Bartleby the Scrivener,Herman Melville
350,The Name of the Rose,Umberto Eco
351,Loving,Henry Green
352,Maldoror (Les Chants de Maldoror),Comte de Lautréamont
353,Half of a Yellow Sun,Chimamanda Ngozi Adichie
354,A Suitable Boy,Vikram Seth
355,Regeneration,Pat Barker
356,The Rainbow,D. H. Lawrence
357,"130 ""best of"" book lists",list details page
358,Kristin Lavransdatter,Sigrid Undset
359,The Duino Elegies,Rainer Maria Rilke
360,The Wonderful Wizard of Oz,L. Frank Baum
361,Household Tales,Brothers Grimm
362,Collected Poems of Dylan Thomas,Dylan Thomas
363,The Devil to Pay in the Backlands,Joao Guimaraes Rosa
364,Cold Comfort Farm,Stella Gibbons
365,Complete Poems,Elizabeth Bishop
366,Death in Venice,Thomas Mann
367,Oblomov,Ivan Goncharov
368,The Death of Ivan Ilyich,Leo Tolstoy
369,The English Patient,Michael Ondaatje
370,The Mayor of Casterbridge,Thomas Hardy
371,Crash: A Novel,J. G. Ballard
372,Money ,Martin Amis
373,Breakfast at Tiffany's,Truman Capote
374,Journey to the West,Wu Cheng'en
375,The Talented Mr. Ripley,Patricia Highsmith
376,The Lover,Marguerite Duras
377,The Adventures of Oliver Twist,Charles Dickens
378,The Joy Luck Club,Amy Tan
379,The Birds,Aristophanes
380,Three Sisters,Anton Chekhov
381,Man's Fate,Andre Malraux
382,The Godfather,Mario Puzo
383,The Hunchback of Notre-Dame,Victor Hugo
384,Labyrinths,Jorge Luis Borges
385,One Day in the Life of Ivan Denisovich,Aleksandr Solzhenitsyn
386,Foundation,Isaac Asimov
387,The Posthumous Memoirs of Bras Cubas,Machado de Assis
388,Way of All Flesh,Samuel Butler
389,The Old Wives' Tale,Arnold Bennett
390,Ferdydurke,Witold Gombrowicz
391,A Visit From The Goon Squad,Jennifer Egan
392,Wings of the Dove,Henry James
393,The Book Thief,Markus Zusak
394,The Clouds,Aristophanes
395,The Tale of Peter Rabbit,Beatrix Potter
396,The Tartar Steppe,Dino Buzzati
397,Notes from the Underground,Fyodor Dostoyevsky
398,Bastard Out of Carolina,Dorothy Allison
399,NW: A Novel,Zadie Smith
400,Giovanni's Room,James Baldwin
401,Gypsy Ballads,Federico García Lorca
402,A Bend in the River,V. S. Naipaul
403,Snow Falling on Cedars,David Guterson
404,Ivanhoe,Walter Scott
405,Dream of the Red Chamber,Cao Xueqin
406,The Things They Carried,Tim O'Brien
407,Neuromancer ,William Gibson
408,"130 ""best of"" book lists",list details page
409,The Thorn Birds,Colleen McCullough
410,Pilgrim's Progress ,John Bunyan
411,Collected Poems of T.S. Eliot,T. S. Eliot
412,Life of Pi,Yann Martel
413,Watchmen ,Alan Moore
414,Le Morte d'Arthur,Thomas Malory
415,Anniversaries,Uwe Johnson
416,Love Medicine,Louise Erdrich
417,The Last of the Mohicans,James Fenimore Cooper
418,Poems of W. H. Auden,W. H. Auden
419,Thérèse Raquin,Emile Zola
420,Ragtime,E. L. Doctorow
421,His Dark Materials,Philip Pullman
422,The Radetzky March,Joseph Roth
423,Germinal,Émile Zola
424,Uncle Tom's Cabin,Harriet Beecher Stowe
425,"Winesburg, Ohio",Sherwood Anderson
426,The Sorrows of Young Werther,Johann Wolfgang von Goethe
427,The Last Chronicle of Barset,Anthony Trollope
428,Corelli's Mandolin,Louis de Bernières
429,The Bacchae,Euripides
430,Do Androids Dream of Electric Sheep?,Philip K. Dick
431,The Betrothed,Alessandro Manzoni
432,A Hero of Our Time,Mikhail Lermontov
433,The Moon and the Bonfires,Cesare Pavese
434,We,Yevgeny Zamyatin
435,The Unnamable,Samuel Beckett
436,Sophie's Choice,William Styron
437,The Day of the Locust ,Nathanael West
438,The Custom of the Country,Edith Wharton
439,The Stories of Raymond Carver,Raymond Carver
440,Cat's Cradle,Kurt Vonnegut
441,The Bean Trees,Barbara Kingsolver
442,"Carry On, Jeeves",P. G. Wodehouse
443,Satanic Verses,Salman Rushdie
444,The Cherry Orchard,Anton Chekhov
445,The Phantom Tollbooth,Norton Juster
446,The Razor's Edge,W. Somerset Maugham
447,And Then There Were None,Agatha Christie
448,The Naked Dead,Norman Mailer
449,New Grub Street: A Novel,George Gissing
450,The Alchemist,Paulo Coelho
451,The Poems of John Keats,John Keats
452,Invisible Cities,Italo Calvino
453,Phèdre,Jean Racine
454,Rubaiyat of Omar Khayyam,Edward FitzGerald
455,Silas Marner,George Eliot
456,The Way We Live Now,Anthony Trollope
457,Cold Mountain,Charles Frazier
458,Six Characters in Search of an Author,Luigi Pirandello
459,"130 ""best of"" book lists",list details page
460,The Savage Detectives,Roberto Bolaño
461,The Temple of the Golden Pavilion,Yukio Mishima
462,The Secret Agent,Joseph Conrad
463,"Life, a User's Manual",Georges Perec
464,The Alexandria Quartet ,Lawrence Durrell
465,A Fine Balance,Rohinton Mistry
466,A Good Man Is Hard to Find,Flannery O'Connor
467,Under the Net ,Iris Murdoch
468,The Nibelungenlied,Anonymous
469,Mourning Becomes Electra,Eugene O'Neill
470,The French Lieutenant's Woman ,John Fowles
471,"Jimmy Corrigan, the Smartest Kid on Earth",Chris Ware
472,Scoop,Evelyn Waugh
473,In Our Time,Ernest Hemingway
474,The Lusiad,Luís Vaz Camões
475,Sister Carrie,Theodore Dreiser
476,Suite Française,Irène Némirovsky
477,Barchester Towers,Anthony Trollope
478,Waiting for the Barbarians,J M Coetzee
479,The Quiet American ,Graham Greene
480,Cider with Rosie,Laurie Lee
481,The Collected Stories of Eudora Welty,Eudora Welty
482,London Fields,Martin Amis
483,The White Tiger,Aravind Adiga
484,The Rime of the Ancient Mariner,Samuel Taylor Coleridge
485,The Awakening,Kate Chopin
486,The Shining,Stephen King
487,Dom Casmurro,Machado de Assis
488,Some Prefer Nettles,Junichiro Tanizaki
489,The Human Stain,Philip Roth
490,Nights At The Circus,Angela Carter
491,The Death of the Heart ,Elizabeth Bowen
492,Songs of Innocence and Experience,William Blake
493,Underworld,Don DeLillo
494,The Hour of the Star,Clarice Lispector
495,American Psycho,Bret Easton Ellis
496,The Stone Diaries,Carol Shields
497,The Giver,Lois Lowry
498,The Magus,John Fowles
499,I'm Not Stiller,Max Frisch
500,Jazz,Toni Morrison
501,Arrowsmith,Sinclair Lewis
502,The Breakfast of Champions,Kurt Vonnegut
503,Othello,William Shakespeare
504,Americanah,Chimamanda Ngozi Adichie
505,Riddle of the Sands,Erskine Childers
506,Birdsong,Sebastian Faulks
507,Babbitt,Sinclair Lewis
508,A Midsummer Night's Dream ,William Shakespeare
509,The Blind Assassin,Margaret Atwood
510,"130 ""best of"" book lists",list details page
511,Hopscotch,Julio Cortázar
512,Gone Girl,Gillian Flynn
513,The Wasp Factory: A Novel,Iain Banks
514,Bonjour Tristesse,Francoise Sagan
515,Perfume,Patrick Suskind
516,The Notebooks of Malte Laurids Brigge,Rainer Maria Rilke
517,Casino Royale,Ian Fleming
518,The Namesake,Jhumpa Lahiri
519,The Crying of Lot 49 ,Thomas Pynchon
520,The Day of the Triffids,John Wyndham
521,Franny and Zooey,J. D. Salinger
522,The Adventures of Tom Sawyer,Mark Twain
523,Sometimes a Great Notion,Ken Kesey
524,The Heart of the Matter ,Graham Greene
525,Home,Marilynne Robinson
526,Cyrano de Bergerac,Edmond Rostand
527,The Kite Runner,Khaled Hosseini
528,Jesus' Son,Denis Johnson
529,Trojan Women,Euripides
530,The Postman Always Rings Twice,James M. Cain
531,The Hunger Games,Suzanne Collins
532,The Sonnets,William Shakespeare
533,A Game of Thrones,George R. R. Martin
534,A Thousand Acres,Jane Smiley
535,Oscar and Lucinda,Peter Carey
536,The Makioka Sisters,Junichiro Tanizaki
537,The Prelude,William Wordsworth
538,The Sleepwalkers,Hermann Broch
539,Memoirs of a Geisha,Arthur Golden
540,The Hours,Michael Cunningham
541,Pygmalion,Bernard Shaw
542,The Inheritance of Loss,Kiran Desai
543,Blindness,José Saramago
544,The Moonstone,Wilkie Collins
545,Billy Lynn's Long Halftime Walk: A Novel,Ben Fountain
546,The Collected Stories of William Faulkner,William Faulkner
547,The Code of the Woosters,P. G. Wodehouse
548,Death Comes for the Archbishop,Willa Cather
549,The Odes,Horace
550,Small Island,Andrea Levy
551,Hippolytus,Euripides
552,Oranges are not the only Fruit,Jeanette Winterson
553,Wise Blood,Flannery O'Connor
554,Life & Times of Michael K,J M Coetzee
555,Don Juan: A Poem,Lord Byron
556,Voss,Patrick White
557,World's End,T. C. Boyle
558,The Turn of the Screw,Henry James
559,Story of the Eye,Georges Bataille
560,The Diary of a Nobody,George Grossmith
561,"130 ""best of"" book lists",list details page
562,The Thirty-Nine Steps,John Buchan
563,The Power and the Glory,Graham Greene
564,A Separate Peace,John Knowles
565,Poems by Machado,Antonio Machado
566,Andersonville,MacKinlay Kantor
567,Miss Lonelyhearts ,Nathanael West
568,A Death in the Family ,James Agee
569,The House of the Seven Gables,Nathaniel Hawthorne
570,Celestina,Fernando de Rojas
571,Eugene Onegin,Alexander Pushkin
572,Hedda Gabler,Henrik Ibsen
573,Poet in New York,Federico García Lorca
574,The Sot-Weed Factor ,John Barth
575,Revolutionary Road,Richard Yates
576,Amongst Women,John McGahern
577,Bridget Jones's Diary,Helen Fielding
578,V,Thomas Pynchon
579,The Siege of Krishnapur,J. G. Farrell
580,The New York Trilogy,Paul Auster
581,Goodbye to Berlin,Christopher Isherwood
582,The Optimist's Daughter,Eudora Welty
583,The Man with the Golden Arm,Nelson Algren
584,Them,Joyce Carol Oates
585,Murphy,Samuel Beckett
586,"Tinker, Tailor, Soldier, Spy",John le Carré
587,Blood and Guts in High School,Kathy Acker
588,Los Siete Locos,Roberto Arlt
589,The Poetry of Luis Cernuda,Luis Cernuda
590,Correction,Thomas Bernhard
591,The Feast of the Goat: A Novel,Mario Vargas Llosa
592,Lonesome Dove,Larry McMurtry
593,Cathedral,Raymond Carver
594,Froth on the daydream,Boris Vian
595,The Glass Bead Game,Hermann Hesse
596,The Death of Artemio Cruz,Carlos Fuentes
597,Birds of America,Lorrie Moore
598,An Artist of the Floating World ,Kazuo Ishiguro
599,The Spy Who Came in From the Cold ,John le Carré
600,The Murder of Roger Ackroyd,Agatha Christie
601,"If I Forget Thee, Jerusalem",William Faulkner
602,The Recognitions ,William Gaddis
603,Pricksongs and Descants,Robert Coover
604,The Book of Laughter and Forgetting ,Milan Kundera
605,Play It As It Lays ,Joan Didion
606,Poems of Federico García Lorca,Federico García Lorca
607,Noughts and Crosses,Malorie Blackman
608,Aesop's Fables,Aesop
609,Outline,Rachel Cusk
610,Little Disturbances,Grace Paley
611,Howl and Other Poems,Allen Ginsberg
612,"130 ""best of"" book lists",list details page
613,Daniel Deronda ,George Eliot
614,Tartuffe,Molière
615,Fortunata and Jacinta,Benito Pérez Galdós
616,Sanctuary,William Faulkner
617,"Charlie And The Chocolate Factory,",Roald Dahl
618,Jakob Von Gunten,Robert Walser
619,Long Day's Journey Into Night,Eugene O'Neill
620,Ada or Ardor,Vladimir Nabokov
621,The Golden Bowl,Henry James
622,Lyrical Ballads,William Wordsworth
623,Everything Is Illuminated,Jonathan Safran Foer
624,The Year of the Death of Ricardo Reis,José Saramago
625,The Burning Plain and Other Stories,Juan Rulfo
626,The Shipyard,Juan Carlos Onetti
627,Three Trapped Tigers,Guillermo Cabrera Infante
628,Freedom: A Novel,Jonathan Franzen
629,The Garden of the Finzi-Continis,Giorgio Bassani
630,The Time of the Hero,Mario Vargas Llosa
631,Hawaii,James Albert Michener
632,The Sellout,Paul Beatty
633,Snow,Orhan Pamuk
634,The Blue Flower,Penelope Fitzgerald
635,How to be both,Ali Smith
636,A Wizard of Earthsea,Ursula K. Le Guin
637,Paddy Clarke Ha Ha Ha,Roddy Doyle
638,Tales of the South Pacific,James A. Michener
639,Snow Crash ,Neal Stephenson
640,Adolphe,Benjamin Constant
641,The Bridge of San Luis Rey,Thornton Wilder
642,Utopia,Thomas More
643,History,Elsa Morante
644,Tristan,Gottfried von Strassburg
645,The Flamethrowers: A Novel,Rachel Kushner
646,Housekeeping,Marilynne Robinson
647,Decline and Fall,Evelyn Waugh
648,Mother's Milk,Edward St Aubyn
649,Bel Canto,Ann Patchett
650,Life Is a Dream,Pedro Calderón de la Barca
651,Anne of Green Gables,Lucy Maud Montgomery
652,The Poems of Francois Villon,François Villon
653,Interpreter of Maladies,Jhumpa Lahiri
654,Collected Poems,Stéphane Mallarmé
655,Tales of the City,Armistead Maupin
656,Twilight,Stephenie Meyer
657,Waiting,Ha Jin
658,The Complete Poetry and Selected Prose of John Donne,John Donne
659,Master and Commander,Patrick O'Brian
660,Murder on the Orient Express,Agatha Christie
661,The Swimming-Pool Library,Alan Hollinghurst
662,Interview with the Vampire,Anne Rice
663,"130 ""best of"" book lists",list details page
664,Peter Pan,J. M. Barrie
665,Beowulf,Unknown
666,Dinner at the Homesick Restaurant,Anne Tyler
667,Appointment in Samarra,John O'Hara
668,Kokoro,Sōseki Natsume
669,Cancer Ward,Aleksandr Solzhenitsyn
670,First Circle,Aleksandr Solzhenitsyn
671,The Go-Between,L. P. Hartley
672,Platero,Juan Ramón Jiménez
673,Rashomon and Seventeen Other Stories,Ryunosuke Akutagawa
674,Romance of the Three Kingdoms,Guanzhong Luo
675,Salvage the Bones: A Novel,Jesmyn Ward
676,Ironweed,William Kennedy
677,The Prophet,Kahlil Gibran
678,Lazarillo de Tormes,Unknown
679,The Shell Seekers,Rosamunde Pilcher
680,Sense and Sensibility,Jane Austen
681,The Sheltering Sky ,Paul Bowles
682,Like Water For Chocolate,Laura Esquivel
683,East of Eden,John Steinbeck
684,Alcools,Guillaume Apollinaire
685,Excellent Women,Barbara Pym
686,At Swim Two-Birds,Flann O'Brien
687,The Prince of Tides,Pat Conroy
688,Cold Sassy Tree,Olive Ann Burns
689,A Christmas Carol,Charles Dickens
690,The Private Memoirs and Confessions of a Justified Sinner,James Hogg
691,The Buddha of Suburbia,Hanif Kureishi
692,JR,William Gaddis
693,There But For The,Ali Smith
694,House with the Blind Glass Windows,Herbjørg Wassmo
695,The Red Room,August Strindberg
696,Hemsöborna,August Strindberg
697,The Unknown Soldier,Väinö Linna
698,The Christmas Oratorio,Göran Tunström
699,Barabbas,Par Lagerkvist
700,The Lost Steps,Alejo Carpentier
701,Simon and the Oaks,Marianne Fredriksson
702,The Alberta Trilogy,Cora Sandel
703,Zuleika Dobson,Max Beerbohm
704,The Country of the Pointed Firs,Sarah Orne Jewett
705,Romeo and Juliet,William Shakespeare
706,Gimpel the Fool,Isaac B Singer
707,The Accidental Tourist,Anne Tyler
708,The Monkey Wrench Gang,Edward Abbey
709,Uncle Vanya,Anton Chekhov
710,Little Dorrit,Charles Dickens
711,Manon Lescaut,Abbe Prevost
712,Ben-Hur,Lew Wallace
713,High Fidelity,Nick Hornby
714,"130 ""best of"" book lists",list details page
715,Deliverance ,James Dickey
716,True History of the Kelly Gang,Peter Carey
717,Annie John,Jamaica Kincaid
718,Thousand Cranes,Yasunari Kawabata
719,Smilla's Sense of Snow: A Novel,Peter Høeg
720,Hyperion,Friedrich Holderlin
721,"If Not Now, When?",Primo Levi
722,Embers,Sandor Marai
723,Simplicius Simplicissimus,Hans Jakob Christoffel von Grimmelshausen
724,The Life and Opinions of the Tomcat Murr,E. T. A. Hoffmann
725,The Reader,Bernhard Schlink
726,Elective Affinities,Johann Wolfgang von Goethe
727,Green Henry,Gottfried Keller
728,The Country Girls,Edna O'Brien
729,Fugitive Pieces,Anne Michaels
730,Fateless,Imre Kertész
731,Les Enfants Terribles,Jean Cocteau
732,Jealousy: A Novel,Alain Robbe-Grillet
733,Saturday Night and Sunday Morning,Alan Sillitoe
734,The Tenant of Wildfell Hall,Anne Brontë
735,Growth of the Soil,Knut Hamsun
736,The Stechlin,Theodor Fontane
737,Aus dem Leben eines Taugenichts,Joseph von Eichendorff
738,Earthly Powers,Anthony Burgess
739,Platform,Michel Houellebecq
740,Varieties of Disturbance: Stories,Lydia Davis
741,The Wapshot Chronicle,John Cheever
742,The Fault in Our Stars,John Green
743,Another Country,James Baldwin
744,The Sirens of Titan,Kurt Vonnegut
745,1Q84,Haruki Murakami
746,The Goldfinch,Donna Tartt
747,Time and Again,Jack Finney
748,"I, Robot",Isaac Asimov
749,Diary of a Madman and Other Stories,Xun Lu
750,Robert Browning's Poetry,Robert Browning
751,The African Child,Camara Laye
752,The Passion,Jeanette Winterson
753,What Is the What,Dave Eggers
754,The Plot Against America,Philip Roth
755,Sula,Toni Morrison
756,Angle of Repose,Wallace Stegner
757,The Left Hand Of Darkness,Ursula K. Le Guin
758,The Sympathizer,Viet Thanh Nguyen
759,My Name is Red,Orhan Pamuk
760,God's Bits of Wood,Ousmane Sembène
761,My Name Is Aram,William Saroyan
762,Of Love and Shadows,Isabel Allende
763,Woman at Point Zero,Nawal El Saadawi
764,Fragments,Heraclitus
765,"130 ""best of"" book lists",list details page
766,Life After Life,Kate Atkinson
767,"Are You There God? It's Me, Margaret",Judy Blume
